ID,Item Type,Unavailable?,Status(es),Additional Image,Attachment,Categories,Condition,Daily Late Fee,Description,Image,Keywords,Name,Price to Purchase,Purchased?,Replacement Cost,Serial Number,Source / Supplier
1020,Trimmers,,,,,,5,$1.00,,/files/images/attribute_image4531276892578155360.jpg;/files/images/attribute_image4531276892578155360.jpg;/files/images/attribute_thumbnail2541348389379050710.jpg,"trimmer, hedge trimmer, hedges, cordless",Black and Decker Cordless Hedgetrimmer,,Y,,,Home Depot
1021,Trimmers,,,,,,3,$1.00,,/files/images/attribute_image4662722310953195556.jpg;/files/images/attribute_image4662722310953195556.jpg;/files/images/attribute_thumbnail2185724357688066376.jpg,"trimmer, hedge trimmer, hedges, corded","Black & Decker Corded Hedge Trimmer, 16""",,,,,
1022,Trimmers,,,,,,5,$1.00,,/files/images/attribute_image2745298061889789429.jpg;/files/images/attribute_image2745298061889789429.jpg;/files/images/attribute_thumbnail4510424818693147857.jpg,"trimmer, hedge trimmer, hedges, corded","Black & Decker Corded Hedge Trimmer, 16""",,,,,
1023,Edgers,,,,,,4,$1,,/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"edger, trencher","Black & Decker Corded Edger-Trencher, 7""",,,,,
1024,Tools,,,,,,5,$1,"With its innovative Automatic Feed Spool system, the Black & Decker 12 in. 18-Volt Cordless Trimmer and Edger makes use of centrifugal force to advance the cutting line, thus eliminating the need for bumping. This cordless trimmer incorporates a hardworking Power Drive transmission and a Groom 'N' Edge head that converts the tool into an edger at the push of a button.",,"trimmer, string trimmer",Black & Decker 18-Volt Cordless String Trimmer,,,,,
1025,Random Orbit Sander,,,,,,4,$1.00,,/files/images/attribute_image105044495304031392.jpg;/files/images/attribute_image105044495304031392.jpg;/files/images/attribute_thumbnail8819584321133222462.jpg,"sander, random orbit sander","Dewalt Corded Random Orbit Sander, 5""",,,,,
1026,Finishing Power Sander,,,,,,4,$1.00,,/files/images/org/10/attribute_image8278914594467257835.jpg;/files/images/org/10/attribute_image8278914594467257835.jpg;/files/images/org/10/attribute_thumbnail3438316105618107620.jpg,"finishing power sander, sander",Black & Decker Corded Finishing Sander,,,,,
1027,Tools,,,,,,3,$1,"Featuring a compact design that makes for comfortable handling and optimum control, the Black and Decker QS900 1/4-Sheet Sander with Filtered Dust Collection lets you complete sanding jobs faster and easier than ever before. This efficient tool is ideal for home renovation or restoration jobs both big and small, and it takes up little space in your workshop. **Missing Dust Collection**",,sander,"Black & Decker Corded Sander, 1/4 Sheet",,,,,
1028,Belt Sander,,,,/files/images/org/10/attribute_file_attachment7035003219670925437.JPG,,5,$1.00,"The BR318 3 in. X 18 in. belt sander with smaller front roller allows you to sand 2X closer to the edge of adjoining surfaces. It has a small, compact design with a comfortable front handle. The sander has a true auto-tracking belt design with an increased power of 6.0 Amps. It also has an easy to empty dust bag.",/files/images/org/10/attribute_image4891389939959318543.jpg;/files/images/org/10/attribute_image4891389939959318543.jpg;/files/images/org/10/attribute_thumbnail154546911777645865.jpg,"sander, belt sander","Black & Decker Corded Belt Sander, 3"" x 18""",,,,,
1029,Belt Sander,,,,,,4,$1.00,,/files/images/org/10/attribute_image4337532792493432405.jpg;/files/images/org/10/attribute_image4337532792493432405.jpg;/files/images/org/10/attribute_thumbnail3094544807587872470.jpg,"sander, belt sander, random orbit sander",Craftsman Corded Dual Motion Sander,,,,,
1030,Random Orbit Sander,,,,,,4,$1.00,Make room in your shop for this fully loaded power tool! The orbital palm sander features a needle bearing motor for smooth operation. Spring clamps allow for quick 1/4 standard sheet changes on the orbital sander while 6 vacuum holes and a dust chute keep sanding dust off the project and out of your eyes!,/files/images/org/10/attribute_image4808119431804726646.jpg;/files/images/org/10/attribute_image4808119431804726646.jpg;/files/images/org/10/attribute_thumbnail4164329170690349924.jpg,"sander, random orbit sander","Drill Master Corded Random Orbit Sander, 1/4 Sheet",,,,,
1031,Tools,,,,,,4,$1.00,This Black &amp; Decker 1/3 sheet sanders uses a variable speed dial for maximum control in a variety of applications. The larger base sands flush on three sides to vertical surfaces on three sides for added convenience. The 2-handed design is for you to comfortable use the sander while keeping it in control. Easy to use paper clamp attachment for convenience when attached sandpaper. A high performance motor reduces vibration and extends product life. The dust sealed switch protects internal parts and extends the life of the tool while the built-in dust collection helps you maintain a cleaner work area,/files/images/org/10/attribute_image1306897814788063875.jpg;/files/images/org/10/attribute_image1306897814788063875.jpg;/files/images/org/10/attribute_thumbnail244885016966527770.jpg,"sander, finishing sander","Black & Decker Corded Finishing Sander, 1/3 Sheet",,,,,
1032,Tools,,,,,,4,$1.00,"The Mouse/Sander/Polisher is ideal for sanding, polishing, and scrubbing projects. Interchangeable bases, sold separate, can be attached to help you squeak in and around tight spaces and corners so you can reach all surfaces. This unit runs at 11,000 orbits per minute, which can tackle just about any job around the house. And, it features a lightweight/compact design with soft grips to maximize comfort and control, plus a Velcro fastening system that makes paper changes fast and easy.",/files/images/attribute_image560710411004588574.jpg;/files/images/attribute_image560710411004588574.jpg;/files/images/attribute_thumbnail6486464614310903598.jpg,"sander, polisher",Black & Decker Corded Mouse Sander/Polisher,,,,,
1033,Tools,,,,,,2,$1.00,,/files/images/org/10/attribute_image5969303161359862255.jpg;/files/images/org/10/attribute_image5969303161359862255.jpg;/files/images/org/10/attribute_thumbnail7598415200126441002.jpg,sander,Black & Decker Sander,,,,,
