address,condition,occupancy,comments,Occupied
"126 Lisbon Ave, Buffalo, NY",3,2,,0
"136 Lisbon Ave, Buffalo, NY",3,2,,0
"144 Lisbon Ave, Buffalo, NY",2,1,,1
"152 Lisbon Ave, Buffalo, NY",2,1,,1
"48 Dartmouth Ave Buffalo, NY",1,1,,1
"153 Lisbon Ave, Buffalo, NY",2,1,,1
"159 Lisbon Ave, Buffalo, NY",2,1,,1
"215 Highgate Ave, Buffalo, NY",1,1,,1
"225 Highgate Ave, Buffalo, NY",1,1,,1
"253 Highgate Ave, Buffalo, NY",2,1,,1
"145 Winspear Ave, Buffalo, NY",2,1,,1
"114 Dartmouth Ave, Buffalo, NY",1,1,,1
"171 Winspear Ave, Buffalo, NY",3,1,,1
"140 Dartmouth Ave, Buffalo, NY",1,1,,1
"193 Winspear Ave, Buffalo, NY",2,1,,1
"148 Dartmouth Ave, Buffalo, NY",1,1,,1
"156 Dartmouth Ave, Buffalo, NY",1,1,,1
"111 Dartmouth Ave, Buffalo, NY",1,1,,1
"115 Dartmouth Ave, Buffalo, NY",1,1,,1
"30 Dartmouth Ave Buffalo, NY",2,1,,1
"314 LaSalle Ave, Buffalo, NY",4,2,,0
"44 Dartmouth Ave Buffalo, NY",2,1,,1
"210 Winspear Ave, Buffalo, NY",2,1,,1
"257 LaSalle Ave, Buffalo, NY",1,2,,0
"285 LaSalle Ave, Buffalo, NY",1,1,,1
"291 LaSalle Ave, Buffalo, NY",2,2,,0
"20 Dartmouth Ave Buffalo, NY",2,1,,1
"90 Dunlop Ave, Buffalo, NY",1,1,,1
"94 Dunlop Ave, Buffalo, NY",1,1,,1
"20 Dunlop Ave Buffalo, NY",2,1,,1
"100 Dunlop Ave, Buffalo, NY",1,1,,1
"108 Dunlop Ave, Buffalo, NY",1,1,,1
"126 Dunlop Ave, Buffalo, NY",2,1,,1
"134 Dunlop Ave, Buffalo, NY",1,1,,1
"138 Dunlop Ave, Buffalo, NY",1,1,,1
"160 Dunlop Ave, Buffalo, NY",3,1,,1
"143 Dunlop Ave, Buffalo, NY",2,1,,1
"18 E Depew Ave, Buffalo, NY",1,1,,1
"26 E Depew Ave, Buffalo, NY",1,1,,1
"40 E Depew Ave, Buffalo, NY",1,1,,1
"51 E Depew Ave, Buffalo, NY",1,1,,1
"97 E Depew Ave, Buffalo, NY",1,1,,1
"46 Winspear Ave, Buffalo, NY",2,1,,1
"117 Mercer Ave, Buffalo, NY",1,1,,1
